name,url,state,court_type,category,notes
Rules of Procedure for Judicial Review of Administrative Decisions,https://govt.westlaw.com/azrules/Browse/Home/Arizona/ArizonaCourtRules/ArizonaStatutesCourtRules?guid=NB746AF40715611DAA16E8D4AC7636430&transitionType=Default&contextData=(sc.Default),AZ,state,all,Group: AZ Westlaw
Local Rules,https://www.scd.uscourts.gov/navtop/rules.asp,SC,federal,all,Group: SC USDC
News,https://www.scd.uscourts.gov/navtop/whatsnew.asp,SC,federal,all,Group: SC USDC
Home Page,https://www.scd.uscourts.gov/,SC,federal,all,Group: SC USDC
Local Rules,https://www.ded.uscourts.gov/local-rules,DE,federal,all,Group: DE USDC
Holiday Schedule,https://www.ded.uscourts.gov/court-holidays,DE,federal,all,Group: DE USDC
Home Page (News),https://www.ded.uscourts.gov/,DE,federal,all,Group: DE USDC
Rules of Court,https://courts.delaware.gov/rules/index.aspx/,DE,state,all,Group: DE State
Holiday Schedule,https://courts.delaware.gov/locations/holidays.aspx,DE,state,all,Group: DE State
Delaware Judicial Branch,https://courts.delaware.gov/,DE,state,all,Group: DE State
Middle District - Local Rules,https://www.ncmd.uscourts.gov/local-rules-and-orders,NC,federal,all,Group: NC USDC
Middle District - Holiday Schedule,https://www.ncmd.uscourts.gov/court-info/court-holidays,NC,federal,all,Group: NC USDC
Western District - Home Page (News),https://www.ncwd.uscourts.gov/,NC,federal,all,Group: NC USDC
Middle District - Home Page (News),https://www.ncmd.uscourts.gov/,NC,federal,all,Group: NC USDC
Western District - Local Rules,https://www.ncwd.uscourts.gov/court-info/local-rules-and-orders/local-rules,NC,federal,all,Group: NC USDC
Western District - Holiday Schedule,https://www.ncwd.uscourts.gov/court-info/court-holidays,NC,federal,all,Group: NC USDC
Eastern District - Home Page (News),https://www.nced.uscourts.gov/,NC,federal,all,Group: NC USDC
Eastern District - Local Rules,https://www.nced.uscourts.gov/rules/Default.aspx,NC,federal,all,Group: NC USDC
Eastern District - Holiday Schedule,https://www.nced.uscourts.gov/public1/holidays.aspx,NC,federal,all,Group: NC USDC
Western District - Home Page (News),https://www.txwd.uscourts.gov/,TX,federal,all,Group: TX USDC
Western District - Standing Orders,https://www.txwd.uscourts.gov/judges-information/standing-orders/,TX,federal,all,Group: TX USDC
Western District - Holiday Schedule,https://www.txwd.uscourts.gov/court-information/court-holidays/,TX,federal,all,Group: TX USDC
Western District - Local Rules,https://www.txwd.uscourts.gov/court-information/lcr-introduction/,TX,federal,all,Group: TX USDC
Eastern District - Home Page (News),https://www.txed.uscourts.gov/,TX,federal,all,Group: TX USDC
Eastern District - Local Rules,https://www.txed.uscourts.gov/?q=rules-and-orders,TX,federal,all,Group: TX USDC
Eastern District - Holiday Schedule,https://www.txed.uscourts.gov/court-holidays,TX,federal,all,Group: TX USDC
Eastern District - General Orders,https://www.txed.uscourts.gov/?q=general-orders,TX,federal,all,Group: TX USDC
Southern District - Home Page (News),https://www.txs.uscourts.gov/,TX,federal,all,Group: TX USDC
Southern District - Local Rules,https://www.txs.uscourts.gov/page/local-federal-rules,TX,federal,all,Group: TX USDC
Southern District - General Orders,https://www.txs.uscourts.gov/district/genord/,TX,federal,all,Group: TX USDC
Southern District - Holiday Schedule,https://www.txs.uscourts.gov/office-holidays,TX,federal,all,Group: TX USDC
Northern District - Home Page (News),https://www.txnd.uscourts.gov/,TX,federal,all,Group: TX USDC
Northern District - Holiday Schedule,https://www.txnd.uscourts.gov/court-holidays,TX,federal,all,Group: TX USDC
Northern District - Local Rules,https://www.txnd.uscourts.gov/rules-and-orders,TX,federal,all,Group: TX USDC
Local Rules,https://www.wyd.uscourts.gov/court-info/local-rules-and-orders/local-rules,WY,federal,all,Group: WY USDC
Holiday Schedule,https://www.wyd.uscourts.gov/court-info/court-holidays,WY,federal,all,Group: WY USDC
Home Page (News),https://www.wyd.uscourts.gov/,WY,federal,all,Group: WY USDC
Eastern District - Local Rules,https://www.wied.uscourts.gov/local-rules-and-guidance,WI,federal,all,Group: WI USDC
Eastern District - Home Page (News),https://www.wied.uscourts.gov/,WI,federal,all,Group: WI USDC
Western District - Home Page (News),https://www.wiwd.uscourts.gov/,WI,federal,all,Group: WI USDC
Western District - Local Rules,https://www.wiwd.uscourts.gov/local-rules,WI,federal,all,Group: WI USDC
Southern District - Local Rules,https://www.wvsd.uscourts.gov/court-info/local-rules-and-orders/local-rules,WV,federal,all,Group: WV USDC
Southern District - Holiday Schedule,https://www.wvsd.uscourts.gov/court-info/court-holidays,WV,federal,all,Group: WV USDC
Southern District - Home Page (News),https://www.wvsd.uscourts.gov/,WV,federal,all,Group: WV USDC
Northern District - Home Page (News),https://www.wvnd.uscourts.gov/,WV,federal,all,Group: WV USDC
Northern District - Holiday Schedule,https://www.wvnd.uscourts.gov/court-hours-operation-and-holidays,WV,federal,all,Group: WV USDC
Western District - Local Rules,https://www.wawd.uscourts.gov/local-rules-and-orders,WA,federal,all,Group: WA USDC
Western District - Holiday Schedule,https://www.wawd.uscourts.gov/holidays,WA,federal,all,Group: WA USDC
Western District - Home Page (News),https://www.wawd.uscourts.gov/,WA,federal,all,Group: WA USDC
Eastern District - Home Page (News),https://www.waed.uscourts.gov/,WA,federal,all,Group: WA USDC
Eastern District - Local Rules,https://www.waed.uscourts.gov/court-info/local-rules-and-orders/general-orders,WA,federal,all,Group: WA USDC
Eastern District - Local Rules,https://www.vaed.uscourts.gov/court-info/local-rules-and-orders,VA,federal,all,Group: VA USDC
